             we,             Fn,       R0 (deg),             OG,           Beff,             Bf,             Be,             Bl,            Bbk,             Bw,             B1,             B2
  4.306273E-002,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.269177E-004,  2.979116E-006,  3.309671E-005,  0.000000E+000,  9.084184E-005,  5.008029E-011,  2.979116E-006,  2.766486E-002
  8.612547E-002,  0.000000E+000,  1.002676E+001,  6.000000E+000,  2.526097E-004,  4.726247E-006,  6.619343E-005,  0.000000E+000,  1.816837E-004,  6.369826E-009,  4.726247E-006,  2.766486E-002
  1.291882E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  3.781656E-004,  6.242015E-006,  9.929014E-005,  0.000000E+000,  2.725255E-004,  1.078798E-007,  6.242015E-006,  2.766486E-002
  1.722509E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  5.041843E-004,  7.632229E-006,  1.323869E-004,  0.000000E+000,  3.633674E-004,  7.978627E-007,  7.632229E-006,  2.766486E-002
  2.153137E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  6.323728E-004,  8.939351E-006,  1.654836E-004,  0.000000E+000,  4.542092E-004,  3.740707E-006,  8.939351E-006,  2.766486E-002
  2.583764E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  7.669400E-004,  1.018575E-005,  1.985803E-004,  0.000000E+000,  5.450511E-004,  1.312286E-005,  1.018575E-005,  2.766486E-002
  3.014391E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  9.165758E-004,  1.138500E-005,  2.316770E-004,  0.000000E+000,  6.358929E-004,  3.762085E-005,  1.138500E-005,  2.766486E-002
  3.445019E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.096884E-003,  1.254611E-005,  2.647737E-004,  0.000000E+000,  7.267348E-004,  9.282954E-005,  1.254611E-005,  2.766486E-002
  3.875646E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.332790E-003,  1.367547E-005,  2.978704E-004,  0.000000E+000,  8.175766E-004,  2.036675E-004,  1.367547E-005,  2.766486E-002
  4.306273E-001,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.659820E-003,  1.477777E-005,  3.309671E-004,  0.000000E+000,  9.084184E-004,  4.056566E-004,  1.477777E-005,  2.766486E-002
