 FRQ,I,J,Aij,Bij
 -0.1000000E+01,           1,           1,  0.1165140E+04,  0.0000000E+00
 -0.1000000E+01,           1,           2, -0.3541534E+00,  0.0000000E+00
 -0.1000000E+01,           1,           3,  0.1954017E+04,  0.0000000E+00
 -0.1000000E+01,           1,           4, -0.4358911E+01,  0.0000000E+00
 -0.1000000E+01,           1,           5,  0.5375120E+06,  0.0000000E+00
 -0.1000000E+01,           1,           6, -0.1020524E+03,  0.0000000E+00
 -0.1000000E+01,           2,           1, -0.3234355E+00,  0.0000000E+00
 -0.1000000E+01,           2,           2,  0.2612565E+05,  0.0000000E+00
 -0.1000000E+01,           2,           3,  0.5171991E+01,  0.0000000E+00
 -0.1000000E+01,           2,           4, -0.9869152E+05,  0.0000000E+00
 -0.1000000E+01,           2,           5,  0.2171875E+02,  0.0000000E+00
 -0.1000000E+01,           2,           6,  0.1465394E+06,  0.0000000E+00
 -0.1000000E+01,           3,           1,  0.1942299E+04,  0.0000000E+00
 -0.1000000E+01,           3,           2,  0.7059903E+01,  0.0000000E+00
 -0.1000000E+01,           3,           3,  0.1133062E+06,  0.0000000E+00
 -0.1000000E+01,           3,           4, -0.6972494E+02,  0.0000000E+00
 -0.1000000E+01,           3,           5,  0.1906087E+07,  0.0000000E+00
 -0.1000000E+01,           3,           6,  0.2884077E+03,  0.0000000E+00
 -0.1000000E+01,           4,           1, -0.4304596E+01,  0.0000000E+00
 -0.1000000E+01,           4,           2, -0.9997976E+05,  0.0000000E+00
 -0.1000000E+01,           4,           3, -0.6057175E+02,  0.0000000E+00
 -0.1000000E+01,           4,           4,  0.3106280E+07,  0.0000000E+00
 -0.1000000E+01,           4,           5, -0.4024022E+04,  0.0000000E+00
 -0.1000000E+01,           4,           6,  0.4627502E+07,  0.0000000E+00
 -0.1000000E+01,           5,           1,  0.5357518E+06,  0.0000000E+00
 -0.1000000E+01,           5,           2,  0.4193338E+02,  0.0000000E+00
 -0.1000000E+01,           5,           3,  0.1908170E+07,  0.0000000E+00
 -0.1000000E+01,           5,           4, -0.3977650E+04,  0.0000000E+00
 -0.1000000E+01,           5,           5,  0.3096601E+09,  0.0000000E+00
 -0.1000000E+01,           5,           6, -0.5151200E+05,  0.0000000E+00
 -0.1000000E+01,           6,           1, -0.7417785E+02,  0.0000000E+00
 -0.1000000E+01,           6,           2,  0.1463118E+06,  0.0000000E+00
 -0.1000000E+01,           6,           3, -0.1835595E+02,  0.0000000E+00
 -0.1000000E+01,           6,           4,  0.4570871E+07,  0.0000000E+00
 -0.1000000E+01,           6,           5, -0.3228388E+05,  0.0000000E+00
 -0.1000000E+01,           6,           6,  0.1337871E+09,  0.0000000E+00
 -0.1000000E+01,           1,           1,  0.1165140E+04,  0.0000000E+00
 -0.1000000E+01,           1,           2, -0.3541534E+00,  0.0000000E+00
 -0.1000000E+01,           1,           3,  0.1954017E+04,  0.0000000E+00
 -0.1000000E+01,           1,           4, -0.4358911E+01,  0.0000000E+00
 -0.1000000E+01,           1,           5,  0.5375120E+06,  0.0000000E+00
 -0.1000000E+01,           1,           6, -0.1020524E+03,  0.0000000E+00
 -0.1000000E+01,           2,           1, -0.3234355E+00,  0.0000000E+00
 -0.1000000E+01,           2,           2,  0.2612565E+05,  0.0000000E+00
 -0.1000000E+01,           2,           3,  0.5171991E+01,  0.0000000E+00
 -0.1000000E+01,           2,           4, -0.9869152E+05,  0.0000000E+00
 -0.1000000E+01,           2,           5,  0.2171875E+02,  0.0000000E+00
 -0.1000000E+01,           2,           6,  0.1465394E+06,  0.0000000E+00
 -0.1000000E+01,           3,           1,  0.1942299E+04,  0.0000000E+00
 -0.1000000E+01,           3,           2,  0.7059903E+01,  0.0000000E+00
 -0.1000000E+01,           3,           3,  0.1133062E+06,  0.0000000E+00
 -0.1000000E+01,           3,           4, -0.6972494E+02,  0.0000000E+00
 -0.1000000E+01,           3,           5,  0.1906087E+07,  0.0000000E+00
 -0.1000000E+01,           3,           6,  0.2884077E+03,  0.0000000E+00
 -0.1000000E+01,           4,           1, -0.4304596E+01,  0.0000000E+00
 -0.1000000E+01,           4,           2, -0.9997976E+05,  0.0000000E+00
 -0.1000000E+01,           4,           3, -0.6057175E+02,  0.0000000E+00
 -0.1000000E+01,           4,           4,  0.3106280E+07,  0.0000000E+00
 -0.1000000E+01,           4,           5, -0.4024022E+04,  0.0000000E+00
 -0.1000000E+01,           4,           6,  0.4627502E+07,  0.0000000E+00
 -0.1000000E+01,           5,           1,  0.5357518E+06,  0.0000000E+00
 -0.1000000E+01,           5,           2,  0.4193338E+02,  0.0000000E+00
 -0.1000000E+01,           5,           3,  0.1908170E+07,  0.0000000E+00
 -0.1000000E+01,           5,           4, -0.3977650E+04,  0.0000000E+00
 -0.1000000E+01,           5,           5,  0.3096601E+09,  0.0000000E+00
 -0.1000000E+01,           5,           6, -0.5151200E+05,  0.0000000E+00
 -0.1000000E+01,           6,           1, -0.7417785E+02,  0.0000000E+00
 -0.1000000E+01,           6,           2,  0.1463118E+06,  0.0000000E+00
 -0.1000000E+01,           6,           3, -0.1835595E+02,  0.0000000E+00
 -0.1000000E+01,           6,           4,  0.4570871E+07,  0.0000000E+00
 -0.1000000E+01,           6,           5, -0.3228388E+05,  0.0000000E+00
 -0.1000000E+01,           6,           6,  0.1337871E+09,  0.0000000E+00
 -0.1000000E+01,           1,           1,  0.1165140E+04,  0.0000000E+00
 -0.1000000E+01,           1,           2, -0.3541534E+00,  0.0000000E+00
 -0.1000000E+01,           1,           3,  0.1954017E+04,  0.0000000E+00
 -0.1000000E+01,           1,           4, -0.4358911E+01,  0.0000000E+00
 -0.1000000E+01,           1,           5,  0.5375120E+06,  0.0000000E+00
 -0.1000000E+01,           1,           6, -0.1020524E+03,  0.0000000E+00
 -0.1000000E+01,           2,           1, -0.3234355E+00,  0.0000000E+00
 -0.1000000E+01,           2,           2,  0.2612565E+05,  0.0000000E+00
 -0.1000000E+01,           2,           3,  0.5171991E+01,  0.0000000E+00
 -0.1000000E+01,           2,           4, -0.9869152E+05,  0.0000000E+00
 -0.1000000E+01,           2,           5,  0.2171875E+02,  0.0000000E+00
 -0.1000000E+01,           2,           6,  0.1465394E+06,  0.0000000E+00
 -0.1000000E+01,           3,           1,  0.1942299E+04,  0.0000000E+00
 -0.1000000E+01,           3,           2,  0.7059903E+01,  0.0000000E+00
 -0.1000000E+01,           3,           3,  0.1133062E+06,  0.0000000E+00
 -0.1000000E+01,           3,           4, -0.6972494E+02,  0.0000000E+00
 -0.1000000E+01,           3,           5,  0.1906087E+07,  0.0000000E+00
 -0.1000000E+01,           3,           6,  0.2884077E+03,  0.0000000E+00
 -0.1000000E+01,           4,           1, -0.4304596E+01,  0.0000000E+00
 -0.1000000E+01,           4,           2, -0.9997976E+05,  0.0000000E+00
 -0.1000000E+01,           4,           3, -0.6057175E+02,  0.0000000E+00
 -0.1000000E+01,           4,           4,  0.3106280E+07,  0.0000000E+00
 -0.1000000E+01,           4,           5, -0.4024022E+04,  0.0000000E+00
 -0.1000000E+01,           4,           6,  0.4627502E+07,  0.0000000E+00
 -0.1000000E+01,           5,           1,  0.5357518E+06,  0.0000000E+00
 -0.1000000E+01,           5,           2,  0.4193338E+02,  0.0000000E+00
 -0.1000000E+01,           5,           3,  0.1908170E+07,  0.0000000E+00
 -0.1000000E+01,           5,           4, -0.3977650E+04,  0.0000000E+00
 -0.1000000E+01,           5,           5,  0.3096601E+09,  0.0000000E+00
 -0.1000000E+01,           5,           6, -0.5151200E+05,  0.0000000E+00
 -0.1000000E+01,           6,           1, -0.7417785E+02,  0.0000000E+00
 -0.1000000E+01,           6,           2,  0.1463118E+06,  0.0000000E+00
 -0.1000000E+01,           6,           3, -0.1835595E+02,  0.0000000E+00
 -0.1000000E+01,           6,           4,  0.4570871E+07,  0.0000000E+00
 -0.1000000E+01,           6,           5, -0.3228388E+05,  0.0000000E+00
 -0.1000000E+01,           6,           6,  0.1337871E+09,  0.0000000E+00
  0.0000000E+00,           1,           1,  0.2665909E+04,  0.0000000E+00
  0.0000000E+00,           1,           2,  0.1588183E+01,  0.0000000E+00
  0.0000000E+00,           1,           3,  0.3218392E+04,  0.0000000E+00
  0.0000000E+00,           1,           4,  0.4021654E+01,  0.0000000E+00
  0.0000000E+00,           1,           5,  0.1245786E+07,  0.0000000E+00
  0.0000000E+00,           1,           6,  0.2150682E+03,  0.0000000E+00
  0.0000000E+00,           2,           1,  0.1265313E+01,  0.0000000E+00
  0.0000000E+00,           2,           2,  0.5930891E+05,  0.0000000E+00
  0.0000000E+00,           2,           3, -0.4853323E+01,  0.0000000E+00
  0.0000000E+00,           2,           4, -0.2320801E+06,  0.0000000E+00
  0.0000000E+00,           2,           5,  0.6084903E+02,  0.0000000E+00
  0.0000000E+00,           2,           6,  0.4900438E+06,  0.0000000E+00
  0.0000000E+00,           3,           1,  0.2927491E+04,  0.0000000E+00
  0.0000000E+00,           3,           2, -0.3186269E+02,  0.0000000E+00
  0.0000000E+00,           3,           3,  0.2738545E+06,  0.0000000E+00
  0.0000000E+00,           3,           4,  0.5266373E+03,  0.0000000E+00
  0.0000000E+00,           3,           5,  0.5293368E+07,  0.0000000E+00
  0.0000000E+00,           3,           6,  0.3823250E+03,  0.0000000E+00
  0.0000000E+00,           4,           1, -0.5703003E+01,  0.0000000E+00
  0.0000000E+00,           4,           2, -0.2256176E+06,  0.0000000E+00
  0.0000000E+00,           4,           3,  0.6845853E+02,  0.0000000E+00
  0.0000000E+00,           4,           4,  0.4539828E+07,  0.0000000E+00
  0.0000000E+00,           4,           5,  0.2685206E+04,  0.0000000E+00
  0.0000000E+00,           4,           6,  0.8704306E+07,  0.0000000E+00
  0.0000000E+00,           5,           1,  0.1222566E+07,  0.0000000E+00
  0.0000000E+00,           5,           2,  0.6972939E+02,  0.0000000E+00
  0.0000000E+00,           5,           3,  0.5181130E+07,  0.0000000E+00
  0.0000000E+00,           5,           4,  0.1287022E+05,  0.0000000E+00
  0.0000000E+00,           5,           5,  0.6979439E+09,  0.0000000E+00
  0.0000000E+00,           5,           6,  0.9797268E+05,  0.0000000E+00
  0.0000000E+00,           6,           1,  0.1045098E+03,  0.0000000E+00
  0.0000000E+00,           6,           2,  0.4903839E+06,  0.0000000E+00
  0.0000000E+00,           6,           3, -0.5251317E+02,  0.0000000E+00
  0.0000000E+00,           6,           4,  0.8992297E+07,  0.0000000E+00
  0.0000000E+00,           6,           5,  0.3621463E+05,  0.0000000E+00
  0.0000000E+00,           6,           6,  0.2482160E+09,  0.0000000E+00
  0.0000000E+00,           1,           1,  0.2665909E+04,  0.0000000E+00
  0.0000000E+00,           1,           2,  0.1588183E+01,  0.0000000E+00
  0.0000000E+00,           1,           3,  0.3218392E+04,  0.0000000E+00
  0.0000000E+00,           1,           4,  0.4021654E+01,  0.0000000E+00
  0.0000000E+00,           1,           5,  0.1245786E+07,  0.0000000E+00
  0.0000000E+00,           1,           6,  0.2150682E+03,  0.0000000E+00
  0.0000000E+00,           2,           1,  0.1265313E+01,  0.0000000E+00
  0.0000000E+00,           2,           2,  0.5930891E+05,  0.0000000E+00
  0.0000000E+00,           2,           3, -0.4853323E+01,  0.0000000E+00
  0.0000000E+00,           2,           4, -0.2320801E+06,  0.0000000E+00
  0.0000000E+00,           2,           5,  0.6084903E+02,  0.0000000E+00
  0.0000000E+00,           2,           6,  0.4900438E+06,  0.0000000E+00
  0.0000000E+00,           3,           1,  0.2927491E+04,  0.0000000E+00
  0.0000000E+00,           3,           2, -0.3186269E+02,  0.0000000E+00
  0.0000000E+00,           3,           3,  0.2738545E+06,  0.0000000E+00
  0.0000000E+00,           3,           4,  0.5266373E+03,  0.0000000E+00
  0.0000000E+00,           3,           5,  0.5293368E+07,  0.0000000E+00
  0.0000000E+00,           3,           6,  0.3823250E+03,  0.0000000E+00
  0.0000000E+00,           4,           1, -0.5703003E+01,  0.0000000E+00
  0.0000000E+00,           4,           2, -0.2256176E+06,  0.0000000E+00
  0.0000000E+00,           4,           3,  0.6845853E+02,  0.0000000E+00
  0.0000000E+00,           4,           4,  0.4539828E+07,  0.0000000E+00
  0.0000000E+00,           4,           5,  0.2685206E+04,  0.0000000E+00
  0.0000000E+00,           4,           6,  0.8704306E+07,  0.0000000E+00
  0.0000000E+00,           5,           1,  0.1222566E+07,  0.0000000E+00
  0.0000000E+00,           5,           2,  0.6972939E+02,  0.0000000E+00
  0.0000000E+00,           5,           3,  0.5181130E+07,  0.0000000E+00
  0.0000000E+00,           5,           4,  0.1287022E+05,  0.0000000E+00
  0.0000000E+00,           5,           5,  0.6979439E+09,  0.0000000E+00
  0.0000000E+00,           5,           6,  0.9797268E+05,  0.0000000E+00
  0.0000000E+00,           6,           1,  0.1045098E+03,  0.0000000E+00
  0.0000000E+00,           6,           2,  0.4903839E+06,  0.0000000E+00
  0.0000000E+00,           6,           3, -0.5251317E+02,  0.0000000E+00
  0.0000000E+00,           6,           4,  0.8992297E+07,  0.0000000E+00
  0.0000000E+00,           6,           5,  0.3621463E+05,  0.0000000E+00
  0.0000000E+00,           6,           6,  0.2482160E+09,  0.0000000E+00
  0.0000000E+00,           1,           1,  0.2665909E+04,  0.0000000E+00
  0.0000000E+00,           1,           2,  0.1588183E+01,  0.0000000E+00
  0.0000000E+00,           1,           3,  0.3218392E+04,  0.0000000E+00
  0.0000000E+00,           1,           4,  0.4021654E+01,  0.0000000E+00
  0.0000000E+00,           1,           5,  0.1245786E+07,  0.0000000E+00
  0.0000000E+00,           1,           6,  0.2150682E+03,  0.0000000E+00
  0.0000000E+00,           2,           1,  0.1265313E+01,  0.0000000E+00
  0.0000000E+00,           2,           2,  0.5930891E+05,  0.0000000E+00
  0.0000000E+00,           2,           3, -0.4853323E+01,  0.0000000E+00
  0.0000000E+00,           2,           4, -0.2320801E+06,  0.0000000E+00
  0.0000000E+00,           2,           5,  0.6084903E+02,  0.0000000E+00
  0.0000000E+00,           2,           6,  0.4900438E+06,  0.0000000E+00
  0.0000000E+00,           3,           1,  0.2927491E+04,  0.0000000E+00
  0.0000000E+00,           3,           2, -0.3186269E+02,  0.0000000E+00
  0.0000000E+00,           3,           3,  0.2738545E+06,  0.0000000E+00
  0.0000000E+00,           3,           4,  0.5266373E+03,  0.0000000E+00
  0.0000000E+00,           3,           5,  0.5293368E+07,  0.0000000E+00
  0.0000000E+00,           3,           6,  0.3823250E+03,  0.0000000E+00
  0.0000000E+00,           4,           1, -0.5703003E+01,  0.0000000E+00
  0.0000000E+00,           4,           2, -0.2256176E+06,  0.0000000E+00
  0.0000000E+00,           4,           3,  0.6845853E+02,  0.0000000E+00
  0.0000000E+00,           4,           4,  0.4539828E+07,  0.0000000E+00
